Data Through|State|COUNTY|County ICU Beds|Avg Ventilators in Use|Severe Case Capacity|Latest COVID-19 Cases|Latest Est Severe Cases|Percent Remaining Capacity|Days to Capacity Failure
20200402|AL|Chambers County|15|REDACTED (<11)|15|67|2|REDACTED (<11)|9
20200402|AL|Wilcox County|4|REDACTED (<11)|4|5|0|REDACTED (<11)|22
20200402|AL|Sumter County|6|REDACTED (<11)|6|4|0|REDACTED (<11)|8
20200402|AL|Macon County|0|REDACTED (<11)|0|4|0|REDACTED (<11)|0
20200402|AL|Greene County|4|REDACTED (<11)|4|4|0|REDACTED (<11)|29
20200402|AL|Choctaw County|4|REDACTED (<11)|4|4|0|REDACTED (<11)|14
20200402|AL|Hale County|5|REDACTED (<11)|5|1|0|REDACTED (<11)|
20200402|AL|Conecuh County|8|REDACTED (<11)|8|1|0|REDACTED (<11)|
20200402|AR|Miller County|0|REDACTED (<11)|0|8|0|REDACTED (<11)|0
20200402|AR|Jackson County|23|REDACTED (<11)|23|0|0|REDACTED (<11)|
20200402|AR|Dallas County|4|REDACTED (<11)|4|0|0|REDACTED (<11)|
20200402|CA|Sutter County|2|REDACTED (<11)|2|14|0|REDACTED (<11)|6
20200402|CO|Kit Carson County|3|REDACTED (<11)|3|4|0|REDACTED (<11)|13
20200402|CO|Grand County|3|REDACTED (<11)|3|4|0|REDACTED (<11)|
20200402|CO|Phillips County|7|REDACTED (<11)|7|2|0|REDACTED (<11)|17
20200402|CO|Lincoln County|3|REDACTED (<11)|3|1|0|REDACTED (<11)|
20200402|CO|Huerfano County|3|REDACTED (<11)|3|1|0|REDACTED (<11)|
20200402|CO|Sedgwick County|2|REDACTED (<11)|2|0|0|REDACTED (<11)|
20200402|CO|Kiowa County|4|REDACTED (<11)|4|0|0|REDACTED (<11)|
20200402|FL|Baker County|4|REDACTED (<11)|4|11|0|REDACTED (<11)|19
20200402|FL|Gadsden County|4|REDACTED (<11)|4|1|0|REDACTED (<11)|
20200402|GA|Lumpkin County|32|REDACTED (<11)|32|7|0|REDACTED (<11)|
20200402|GA|Macon County|4|REDACTED (<11)|4|2|0|REDACTED (<11)|30
20200402|GA|Jasper County|2|REDACTED (<11)|2|2|0|REDACTED (<11)|
20200402|GA|Dade County|6|REDACTED (<11)|6|1|0|REDACTED (<11)|
20200402|GA|Cook County|6|REDACTED (<11)|6|1|0|REDACTED (<11)|
20200402|IA|Dallas County|4|REDACTED (<11)|4|31|1|REDACTED (<11)|9
20200402|IA|Benton County|4|REDACTED (<11)|4|7|0|REDACTED (<11)|19
20200402|IA|Iowa County|4|REDACTED (<11)|4|5|0|REDACTED (<11)|13
20200402|IA|Hancock County|4|REDACTED (<11)|4|3|0|REDACTED (<11)|
20200402|IA|Buchanan County|4|REDACTED (<11)|4|3|0|REDACTED (<11)|
20200402|IA|Mitchell County|4|REDACTED (<11)|4|2|0|REDACTED (<11)|
20200402|IA|Madison County|4|REDACTED (<11)|4|1|0|REDACTED (<11)|
20200402|IA|Keokuk County|4|REDACTED (<11)|4|1|0|REDACTED (<11)|
20200402|IA|Jackson County|4|REDACTED (<11)|4|1|0|REDACTED (<11)|
20200402|IA|Guthrie County|4|REDACTED (<11)|4|1|0|REDACTED (<11)|
20200402|IA|Adair County|4|REDACTED (<11)|4|1|0|REDACTED (<11)|
20200402|IA|Ringgold County|3|REDACTED (<11)|3|0|0|REDACTED (<11)|
20200402|IA|Palo Alto County|4|REDACTED (<11)|4|0|0|REDACTED (<11)|
20200402|IA|Monroe County|4|REDACTED (<11)|4|0|0|REDACTED (<11)|
20200402|IA|Lyon County|2|REDACTED (<11)|2|0|0|REDACTED (<11)|
20200402|IA|Humboldt County|3|REDACTED (<11)|3|0|0|REDACTED (<11)|
20200402|IA|Grundy County|4|REDACTED (<11)|4|0|0|REDACTED (<11)|
20200402|IA|Franklin County|4|REDACTED (<11)|4|0|0|REDACTED (<11)|
20200402|IA|Floyd County|4|REDACTED (<11)|4|0|0|REDACTED (<11)|
20200402|IA|Clarke County|4|REDACTED (<11)|4|0|0|REDACTED (<11)|
20200402|IA|Chickasaw County|1|REDACTED (<11)|1|0|0|REDACTED (<11)|
20200402|IA|Calhoun County|2|REDACTED (<11)|2|0|0|REDACTED (<11)|
20200402|ID|Gem County|2|REDACTED (<11)|2|6|0|REDACTED (<11)|10
20200402|ID|Shoshone County|4|REDACTED (<11)|4|0|0|REDACTED (<11)|
20200402|ID|Power County|2|REDACTED (<11)|2|0|0|REDACTED (<11)|
20200402|ID|Oneida County|2|REDACTED (<11)|2|0|0|REDACTED (<11)|
20200402|ID|Franklin County|3|REDACTED (<11)|3|0|0|REDACTED (<11)|
20200402|ID|Butte County|2|REDACTED (<11)|2|0|0|REDACTED (<11)|
20200402|ID|Boundary County|3|REDACTED (<11)|3|0|0|REDACTED (<11)|
20200402|IL|Jo Daviess County|3|REDACTED (<11)|3|3|0|REDACTED (<11)|25
20200402|IL|Mercer County|4|REDACTED (<11)|4|1|0|REDACTED (<11)|
20200402|IL|Schuyler County|4|REDACTED (<11)|4|0|0|REDACTED (<11)|
20200402|IL|Hardin County|4|REDACTED (<11)|4|0|0|REDACTED (<11)|
20200402|IL|Greene County|4|REDACTED (<11)|4|0|0|REDACTED (<11)|
20200402|IL|De Witt County|3|REDACTED (<11)|3|0|0|REDACTED (<11)|
20200402|IL|Boone County|6|REDACTED (<11)|6|0|0|REDACTED (<11)|
20200402|KS|Cherokee County|8|REDACTED (<11)|8|4|0|REDACTED (<11)|
20200402|KS|Mitchell County|4|REDACTED (<11)|4|2|0|REDACTED (<11)|
20200402|KS|Sumner County|4|REDACTED (<11)|4|1|0|REDACTED (<11)|
20200402|KS|Stevens County|3|REDACTED (<11)|3|1|0|REDACTED (<11)|
20200402|KS|Stafford County|4|REDACTED (<11)|4|1|0|REDACTED (<11)|
20200402|KS|Ottawa County|4|REDACTED (<11)|4|1|0|REDACTED (<11)|
20200402|KS|Jefferson County|4|REDACTED (<11)|4|1|0|REDACTED (<11)|
20200402|KS|Jackson County|2|REDACTED (<11)|2|1|0|REDACTED (<11)|
20200402|KS|Gove County|4|REDACTED (<11)|4|1|0|REDACTED (<11)|
20200402|KS|Clay County|3|REDACTED (<11)|3|1|0|REDACTED (<11)|
20200402|KS|Chautauqua County|3|REDACTED (<11)|3|1|0|REDACTED (<11)|
20200402|KS|Wichita County|4|REDACTED (<11)|4|0|0|REDACTED (<11)|
20200402|KS|Trego County|4|REDACTED (<11)|4|0|0|REDACTED (<11)|
20200402|KS|Stanton County|3|REDACTED (<11)|3|0|0|REDACTED (<11)|
